"Key","Title","Authors","Type","Venue","Year","Domain","Use Case","Type","Collaboration","CSK Source","Evaluation DS","Search Source","Questions","What is the expected location for an object?","What affordances does an object have?","Which objects are similar to the given object?","Which tools can be used for a certain task? ","How can an object be transported / grasped?","How can I interact with an object / container / etc.?","Where to place objects (on a table)?","What are the intentions a human could have with a certain object?","What materials make up the object?","What is the location where certain objects are currently located? ","What parts does the object consist of?","Which brand produced the object?","Which objects in the environment need to be avoided?","What is the (current) functional state of the object?","What is the sentiment of a concept (positive / negative)?","Can I accomplish the given task or do I need help?","How can I react to an incomplete command by a human?","What are the physical properties of an object (e.g. size, shape, color)? ","Does my new knowledge contradict my knowledge base?","What are the spatial relations of this object?","What is the outcome of my current action?","Where are specific humans located?","What activity / event do I perceive?","What aspects of my environment are changing?","What is the (shortest) distance to my current goal?"
"javed2016dynamic","A Dynamic Ontology based Model for Intelligent Robot","Javed, Aruba; Raza, Syed Ali; Azam, Muhammad","Conference Paper","International Multi-Disciplinary Conference",2016,"Gardening","Hole Digging","Example",,"Not mentioned","Not published","Google Scholar (K4)","What affordances does an object have?; Which tools can be used for a certain task?",,1,,1,,,,,,,,,,,,,,,,,,,,,
"vassiliades2020knowledge","A knowledge retrieval framework for household objects and actions with external knowledge","Vassiliades, Alexandros; Bassiliades, Nick; Gouidis, Filippos; Patkos, Theodore","Conference Paper","International Conference on Semantic Systems",2020,"Household","Environment Exploration","Application Domain",,"VirtualHome; WordNet; Dbpedia; ConceptNet","Not published","Manzoor21 (Out)","What is the expected location for an object?; What affordances does an object have?; Which objects are similar to the given object? ",1,1,1,,,,,,,,,,,,,,,,,,,,,,
"javia2016knowledge","A Knowledge-Based Architecture Supporting Declarative Action Representation for Manipulation of Everyday Objects","Javia, Binal; Cimiano, Philipp","Workshop Paper","Workshop on Model-Driven Robot Software Engineering",2016,"General Robotics","Pick & Place","Proof-of-Concept",,"KnowRob","Not published","ACM Digital Library (K1); Scopus (K1); Google Scholar (K1); Google Scholar (K4)","What affordances does an object have?; Which objects in the environment need to be avoided?",,1,,,,,,,,,,,1,,,,,,,,,,,,
"ayari2015novel","A novel approach based on commonsense knowledge representation and reasoning in open world for intelligent ambient assisted living services","Ayari, Naouel; Chibani, Abdelghani; Amirat, Yacine; Matson, Eric T","Conference Paper","IEEE/RSJ International Conference on Intelligent Robots and Systems",2015,"Personal Care","Warehousing","Example","Smart Objects; Human","Perception / Sensors; Humans","Not published","Google Scholar (K4)","Can I accomplish the given task or do I need help?; Where are specific humans located?",,,,,,,,,,,,,,,,1,,,,,,1,,,
"salinas2018acquiring","Acquiring Knowledge of Object Arrangements from Human Examples for Household Robots","Salinas Pinacho, Lisset; Wich, Alexander; Yazdani, Fereshta; Beetz, Michael","Conference Paper","Annual German Conference on AI",2018,"Household","Table Setting","Focus",,"Experience / Memories","Table Setting Memories","Google Scholar (K2); Manzoor21 (Out)","Where to place objects (on a table)?",,,,,,,1,,,,,,,,,,,,,,,,,,
"de2022adding","Adding Common Sense to Robots by Completing the Incomplete Natural Language Instructions","De Silva, GWMHP; Rajapaksha, Samantha; Jayawardena, Chandimal","Conference Paper","IEEE International Conference for Convergence in Technology",2022,"Household","Intention Inference","Example","Human","Humans","10 Example Sentences","Google Scholar (K3)","How can I react to an incomplete command by a human?",,,,,,,,,,,,,,,,,1,,,,,,,,
"pradeepani2022adding","Adding Commonsense to Robotic Application Using Ontology-Based Model Retraining","Pradeepani, MKT; Jayawardena, C; Rajapaksha, UUS","Conference Paper","International Research Conference on Smart Computing and Systems Engineering",2022,"Household","Warehousing","Example","Human","BERT","Not published","Google Scholar (K3)","What is the expected location for an object?; How can I react to an incomplete command by a human?",1,,,,,,,,,,,,,,,,1,,,,,,,,
"varadarajan2012afrob","AfRob: The affordance network ontology for robots","Varadarajan, Karthik Mahesh; Vincze, Markus","Conference Paper","IEEE/RSJ International Conference on Intelligent Robots and Systems",2012,"General Robotics","Object Localisation","Example",,"AfNet","Not published","Scopus (K3); Google Scholar (K3); Google Scholar (K4)","What affordances does an object have?; How can an object be transported / grasped?; What materials make up the object?",,1,,,1,,,,1,,,,,,,,,,,,,,,,
"aker2012answer","Answer Set Programming for Reasoning with Semantic Knowledge in Collaborative Housekeeping Robotics","Aker, Erdi; Patoglu, Volkan; Erdem, Esra","Conference Paper","IFAC Symposium on Robot Control",2012,"Household","Tidy up","Focus","Other Robots","ConceptNet","Not published","Science Direct (K4); Google Scholar (K3)","What is the expected location for an object?; Can I accomplish the given task or do I need help?",1,,,,,,,,,,,,,,,1,,,,,,,,,
"haidu2019automated","Automated models of human everyday activity based on game and virtual reality technology","Haidu, Andrei; Beetz, Michael","Conference Paper","IEEE International Conference on Robotics and Automation",2019,"Household","Table Setting","Example",,"Humans","Not published","Scopus (K3)","What is the expected location for an object?; How can an object be transported / grasped?; Where to place objects (on a table)?",1,,,,1,,1,,,,,,,,,,,,,,,,,,
